epoch	lr	train_loss	val_loss	train_acc1	val_acc1	train_acc5	val_acc5
0	0.100	6.9752	5.4857	11.9620	22.9140	27.7698	46.4480
1	0.100	5.1037	4.4872	28.1265	33.4600	52.6792	60.3080
2	0.100	4.4981	4.0853	35.0019	38.7540	60.5359	65.8920
3	0.100	4.2117	3.9607	38.4523	40.1440	64.0255	67.1800
4	0.100	4.0486	3.6825	40.4864	43.6740	66.0499	70.7760
5	0.100	3.9412	3.7069	41.7671	43.7880	67.3038	70.3920
6	0.100	3.8604	3.5402	42.7523	45.1580	68.2665	72.4280
7	0.100	3.8068	3.4990	43.4177	46.0300	68.8859	72.8540
8	0.100	3.7580	3.8338	44.0388	42.2840	69.4280	68.7840
9	0.100	3.7288	3.4142	44.4351	46.9300	69.7355	73.9260
10	0.100	3.7059	3.4899	44.7350	45.8900	70.0553	72.7400
11	0.100	3.6764	3.4272	45.0452	47.2240	70.4055	73.5340
12	0.100	3.6578	3.3792	45.3617	47.0960	70.5587	73.9680
13	0.100	3.6373	3.4101	45.6037	46.8940	70.8160	73.8160
14	0.100	3.6209	3.2709	45.8167	48.8480	70.9762	75.1420
15	0.100	3.6086	3.3559	45.9774	48.1740	71.1135	74.3100
16	0.100	3.5976	3.2868	46.0995	49.0400	71.2679	75.4360
17	0.100	3.5873	3.2723	46.2400	49.1560	71.3766	75.2140
18	0.100	3.5778	3.2661	46.3136	48.8880	71.4997	75.6100
19	0.100	3.5670	3.2749	46.5046	48.8880	71.6466	75.3160
20	0.100	3.5649	3.2652	46.4985	49.0380	71.6363	75.5540
21	0.100	3.5539	3.2212	46.6702	49.7420	71.7721	75.8240
22	0.100	3.5495	3.2211	46.7144	49.7680	71.7785	75.9300
23	0.100	3.5437	3.3443	46.7524	48.1360	71.8482	74.5220
24	0.100	3.5375	3.3022	46.8794	48.6980	71.9193	75.3760
25	0.100	3.5323	3.2185	46.9771	49.9380	72.0130	76.1660
26	0.100	3.5270	3.2575	46.9787	49.1300	72.0651	75.4800
27	0.100	3.5206	3.2362	47.0957	49.2180	72.1296	75.6940
28	0.100	3.5170	3.2607	47.1483	49.0820	72.1913	75.5340
29	0.100	3.5152	3.2934	47.1948	49.0760	72.1778	75.3700
30	0.100	3.5090	3.3409	47.1878	48.2760	72.2635	74.4780
31	0.100	3.5061	3.2444	47.2931	49.2540	72.3035	75.7120
32	0.100	3.5055	3.1686	47.2928	50.3560	72.2685	76.5460
33	0.100	3.4997	3.3533	47.3585	47.7600	72.3479	74.6700
34	0.100	3.4989	3.2819	47.3290	48.6520	72.3434	75.0900
35	0.010	2.8223	2.2859	57.9401	64.2280	80.1116	86.0260
36	0.010	2.6603	2.2220	60.3572	65.3400	81.9145	86.6040
37	0.010	2.5970	2.1891	61.3786	65.8860	82.6419	87.0840
38	0.010	2.5577	2.1568	62.0137	66.3180	83.0436	87.3200
39	0.010	2.5327	2.1607	62.3672	66.1380	83.3311	87.3060
40	0.010	2.5124	2.1405	62.7113	66.5240	83.5438	87.4260
41	0.010	2.5035	2.1396	62.8639	66.3380	83.6553	87.6060
42	0.010	2.4966	2.1499	62.9611	66.4720	83.7316	87.4160
43	0.010	2.4932	2.1355	63.0418	66.4280	83.8226	87.5800
44	0.010	2.4857	2.1336	63.1368	66.4080	83.8523	87.6200
45	0.010	2.4839	2.1288	63.1519	66.8120	83.8937	87.6540
46	0.010	2.4820	2.1611	63.1918	66.0500	83.9497	87.2260
47	0.010	2.4829	2.1667	63.1993	66.0940	83.9506	87.2780
48	0.010	2.4807	2.1598	63.2238	66.3760	83.9620	87.3500
49	0.010	2.4807	2.1154	63.2245	66.9140	83.9375	87.7840
50	0.010	2.4783	2.1569	63.2605	66.0580	84.0003	87.4360
51	0.010	2.4746	2.1255	63.2905	66.7280	84.0307	87.6560
52	0.010	2.4732	2.1807	63.3478	65.7860	84.0292	87.3760
53	0.001	2.2445	1.9119	67.2961	70.3120	86.3745	89.6940
54	0.001	2.1867	1.8893	68.2284	70.5820	86.9683	89.9160
55	0.001	2.1639	1.8830	68.5910	70.6760	87.1598	89.9480
56	0.001	2.1444	1.8715	68.9142	70.7800	87.3575	90.0900
57	0.001	2.1336	1.8692	69.1764	71.0060	87.4912	90.1600
58	0.001	2.1199	1.8573	69.3479	71.1860	87.6408	90.1980
59	0.001	2.1104	1.8546	69.4941	71.2560	87.6805	90.2200
60	0.001	2.1050	1.8502	69.5645	71.2700	87.7564	90.3000
61	0.001	2.0986	1.8434	69.7819	71.3480	87.8366	90.3180
62	0.001	2.0927	1.8444	69.8681	71.3280	87.8826	90.4240
63	0.001	2.0835	1.8434	69.9410	71.3320	87.9984	90.3340
64	0.001	2.0784	1.8356	70.0569	71.4040	88.0372	90.4080
65	0.001	2.0727	1.8341	70.1238	71.4560	88.0874	90.5040
66	0.001	2.0669	1.8267	70.2392	71.5760	88.1222	90.5360
67	0.001	2.0654	1.8289	70.3104	71.5940	88.1611	90.4380
